4444.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	14172.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	30124	0	0	0	0	-17227	0	0	0	0	0	0	0	0	0
0	0	0	73046	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	41649.3	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	91827.4	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	147929	0	0	0	0	0	0	0	0	0	0
0	0	-17227	0	0	0	0	86977	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	206611.6	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	4691.3	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	24532.1	0	0	-25137.7	12099.1	0	0
0	0	0	0	0	0	0	0	0	0	0	54083.3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	510204.1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	-25137.7	0	0	134598.4	-64783.9	0	0
0	0	0	0	0	0	0	0	0	0	12099.1	0	0	-64783.9	128837.6	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226757.4	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346020		
